tweet,polarity
executed three federal prisoners he had the power to commute but chose not to   hes wrong on a ton more issues than     hes an existential danger to     i urge all   amp   voters to support          end, 0
president trump was the only one to take action to stop the chinese from sending their infected into our airports  biden pelosi schumer were against it, 1
im the midst of all this crap just stop and think for just a moment that joe biden is the absolute best the democratic party could come up with for their presidential candidate and have yourself a good laugh we could all use it, 1
thanks to  us is no closer to a national grand plan for tackling the covid outbreak that has killed more than 150000 people in america and is raging out of control, 0
yes donnie your taxes will go up when biden is president but dont sweat it youre gonna be in prison, 0
ftr ive been too busy delivering hundreds of requested  biden 2020 signs all over n alabama to have time for traditional canvassing right now, 0
sir why did you write tell the truth on your talking points list the 3rd section 3rd line oh wait you put a biden spin on many statements or stories, 0
at this point id vote for anyone other than biden just to try and save that man from the destruction amp indignation they would happily allow him to suffer in order to push their radical agenda an agenda that the real joe bidenbefore the dementianever believed in, 1
im attending joe biden for presidents event housing in black and latino communities roundtable featuring secretary julian castro  sign up now to join me, 0
just cant remember what a poor job obamabiden administration did he likely doesnt even recall when he ridiculed  for banning china entry into us after the   was released on to the world stage, 1
this coming from a man who thinks two corinthian is a book in the bible who holds it upside down  not that i want to be judgmental donnie but what does the bible say about lying stealing cursing cheating on your wives pride covetousness since you are so holier than biden, 0
this story has been fact checked and is true, 0
this guy cares about manufacturing and auto workers, 0
people know exactly who they are going to vote for we do not need a debate of your lies and insults to know joe biden is the man everyone if your state allows mail in voting please do so, 0
joe biden has dignity, 0
haley is absolutely delusional any trump supporter has to be and thank god that biden will undo the progress they made, 0
jill biden plans to continue to teach if she becomes first lady in contrast to  the vapid supercilious ignorant woman working on her rose garden, 0
so iranampchina hate trumpampare meddling in our electionamptrying to elect bidenthat right therethat right there should make you rush rush asap 2vote4 trump these iranianampcommie chinese hate us hate anericathey are enemies2your freedom, 1
biden is reading from a script that his wife wrote he dont have the sense of a fly at this point in his life trump2020 kag, 1
love the show a closer look with   amp jessica please keep educating listeners on bidenharris i had no idea  is a 0 on the scale of pro life thank you, 1
we the people will not be electing joe biden we will be reelecting the greatest president to ever be president, 1
so joe biden has selected his vp finally its only kamala on her knees harris these are both bout a pair aint they ones low energy and the other is low popularity and both are going to get crushed by trump, 1
im attending joe biden for presidents event team biden disability coalition presents a mental health roundtable discussion  sign up now to join me, 0
if anyone wondered what the markets think of bidenharris  this on the news of announcing harris   the markets have voted, 1
so now foxnews covers a joe biden presser no questionsto tell citizens to wear masks next 3 monthsin spite of not covering breaking press conference about israel and uae dozens of questions    twos, 1
so when joe biden mangled kamala in his speech today while reading from the teleprompter guess that was disrespect too, 1
evil how can people be so blind if elected sleepy joe biden and kamala chameleon harris will destroy the country god help us, 1
biden is reading from a script that his wife wrote he dont have the sense of a fly at this point in his life trump2020 kag, 1
im attending joe biden for presidents event seniors for biden social security anniversary event hosted by jill biden and louis gossett jr  sign up now to join me, 0
love the show a closer look with   amp jessica please keep educating listeners on bidenharris i had no idea  is a 0 on the scale of pro life thank you, 1
garbage take on this election not supporting biden means supporting trump, 0
look up i sniffed a girl an i liked it  joe biden is a creep if you support a pedophile  you people make me sick to my stomach, 1
if you vote for biden he will actually not be our president, 1
biden stands a chance in hell, 1
we will when joe biden steps into the oval office as president of the united states of america and restores american democracy, 0
trump ran up 33 trillion in precovid debt with his mishandling of the virus he is on track to beat obama in money spent over both terms obama and joe biden left a strong healthy economy trump is leaving the economy descimated   trump has failed us all, 0
calling a  bidenharris ticket extreme and radical is like calling wine coolers the hardest alcohol you can drink, 1
president joe biden and vice president kamala harris  finally  our long national nightmare is about to be over, 0
just a reminder that bidens vp pick kamala harris previously said that she believes bidens accusers, 1
thankfully disgruntled bernie fans such as yourself will be far outnumbered at the polls  joe biden will be our next awesome president of the united states of america   go joe, 0
there is nothing prominent about any of these men since when do prominent men determine the outcome or decide an election they are power broking manipulators and are not america first no matter who biden picks he will be trounced by, 1
thank you president joe biden for not referring to that traitor as president putins sockpuppet doesnt deserve that title donald trump should be called bunkerboy if anything  joe biden is our president now, 0
garbage take on this election not supporting biden means supporting trump, 0
look up i sniffed a girl an i liked it  joe biden is a creep if you support a pedophile  you people make me sick to my stomach, 1
damn right just how many biden boat parades have you seen, 1
joe biden and his cronies are nothing more than used car salesmen they pander to what they think the buyers want to hear their spiels change with every audience this should be a red flag to anyone with any sense president trump remains the same and has integrity, 1
he immediately turned it into a political fight the total failure to lead in a time of crisis is on the entire republican party, 0
if biden cant talk clearly or even make sense why do we think he can be president, 1
with biden they wont need tunnels to get their drugs across itll be open season dont let that happen, 1
people who say i want to vote for biden but itll come down to his vp pick are just looking for an excuse to vote for trump, 0
af branco cartoon garbage in  via, 1
im excellent at multitasking to ensure  gets reelected amp   amp the   get exposed for the bs their peddling to include hiding   and failure to get anything done in the past 4 years you do you amp ill do me, 1
one big difference between trump and biden biden would put his life on the line for you trump will put your life on the line for himself, 0
so it starts, 1
